Nro Usuario HR,Nro Usuario HPH,Nombre y Apellido,Mensajes,Galeones,ATK,DEF,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio,Activo,,Link HR,LINK HPH
u2395,151,Johanna Grindelwald,,,,,Slytherin,Estudiante,7,Neutral,Humano,Mujer,Mortífago,18,Inéfable / Mortífago,-,Bisexual,Águila Arpía,-,Pura,https://i.imgur.com/3Cot8sK.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2395"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=151"">"
u38,182,John Reese,,,,,Muggle,Adulto,A,Neutral,Humano,Hombre,,53,-,-,Heterosexual,-,-,-,https://i.imgur.com/DPxyuBc.png,Si,,,"<a href=""https://www.hogwartsrol.com/u38"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=182"">"
u3445,70,Jonathan Sunday,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3445"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=70"">"
u1503,183,Joseph White ,,,,,Muggle,Adulto,A,Neutral,Humano,Hombre,,70,-,-,Heterosexual,-,-,-,https://i.imgur.com/uqY5icB.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1503"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=183"">"
u1193,160,Julian E. Defoe,,,,,Hufflepuff,Adulto,A,Neutral,Híbrido H+V,Hombre,,31,Dueño de Plant y Seeds / Profesionales en Regulación de Criaturas Mágicas,-,Heterosexual,Aguililla Cola Roja,-,Pura,https://i.imgur.com/VrPQ2zd.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1193"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=160"">"
u2245,81,Julieta Richetti,,,,,Ravenclaw,Adulto,A,Neutral,Humano,Mujer,,25,Inefable / Jefa Segurida Mágica,Diseño / Redes,Bisexual,Tigre Malayo,Oclumancia,Pura,https://i.imgur.com/Vn2VoR4.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2245"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=81"">"
u3102,57,Junniper R. Scamander,,,,,Hufflepuff,Estudiante,6,Neutral,Humano,Mujer,,16,Aprendiz DCRM,-,Bisexual,Qilin,Oclumancia,Mestiza,https://i.imgur.com/th5xM25.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3102"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=57"">"
u3005,155,Junseo Kleverk,,,,,Slytherin,Estudiante,5,Neutral,Humano,Hombre,,15,Aprendiz Mortífago,-,Bisexual,Avispa Roja,-,Pura,https://i.imgur.com/AY7IU6c.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3005"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=155"">"
u3124,157,Khamila Andreani,,,,,Gryffindor,Adulto,A,Neutral,Hibrido Si+H,Mujer,,36,Profesor de la academia / Dueña de Vinos Zabini,-,Bisexual,Lince Ibérico,-,Pura,https://i.imgur.com/zYzL0VW.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3124"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=157"">"
u1290,153,Kin A. Hattori,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u1290"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=153"">"
u2317,53,Klaus Wolfskinder,,,,,Slytherin,Estudiante,7,Neutral,Licántropo,Hombre,,18,Prefecto Slytherin / Capitan Slytherin ,,Heterosexual,Perro Bobtail,-,Pura,https://i.imgur.com/RYsbILA.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2317"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=53"">"
u2936,173,Kris Avery,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u2936"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=173"">"
u3033,49,L. Danae Dimou,,,,,Slytherin,Estudiante,7,Mortífago,Licántropo,Mujer,Mortífago,17,Ayudante de Honeydukes / A. Mortífago,-,Demisexual,Cuervo Común,-,Mestiza,https://i.imgur.com/My75WQz.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3033"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=49"">"
u782,14,Larissa N. Wolf,,,,,Ravenclaw,Adulto,A,Mortífago,Humano,Mujer,Mortífago,33,Inefable / Dueño de Ragnarok / Mortífago,Narradores de Duelos y Misiones,Bisexual,Kitsune,-,Pura,https://i.imgur.com/uPhVHra.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u782"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=14"">"
u933,56,Leah Nott,,,,,Slytherin,Adulto,A,Neutral,Híbrido Va+Ve,Mujer,,25,Profesora de Encantamiento / Wizangamont,Jefe de Slytherin,Bisexual,Gato Bengalí,-,Mestiza,https://i.imgur.com/7YSs1u6.png,Si,,,"<a href=""https://www.hogwartsrol.com/u933"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=56"">"
u1171,184,Leticia de RH,,,,,Extranjero,Adulto,A,Neutral,Humano,Mujer,,35,Recursos Humanos,-,Heterosexual,-,-,Impura,https://i.imgur.com/DGhb9W6.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1171"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=184"">"
u892,21,Lillie Windhunter,,,,,Gryffindor,Adulto,A,Neutral,Vampiro,Mujer,,30,J. de Sanción en Hogwarst / D. Fleur,Staff,Heterosexual,Pájaro colorín azul,-,Pura,https://i.imgur.com/D8inLzj.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u892"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=21"">"
u3313,123,Lissandra Bane,,,,,Hufflepuff,Adulto,A,Auror,Humano,Mujer,,23,Inefable,-,Heterosexual,Visón,-,Pura,https://i.imgur.com/fPFnxOs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3313"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=123"">"
u2000,63,Logan Allen,,,,,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,27,Auror / Jefe del Dpto. Misterios ,Mod. misiones / Columnista,Bisexual,Tigre de Béngala real,-,Pura,https://i.imgur.com/zrUpCbQ.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2000"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=63"">"
u1274,131,Luca Cabane,,,,,Ravenclaw,Adulto,A,Neutral,Humano,Hombre,,34,-,-,Bisexual,Tucán,-,Impura,https://i.imgur.com/pEoN0VL.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1274"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=131"">"
u3029,67,Lyrie D. Argent,,,,,Ravenclaw,Estudiante,6,Neutral,Licántropo,Mujer,,17,Jugador Ravenclaw / A. Sanador / A. Morti,Mod. misiones / Diseñador,Bisexual,Nutria,-,Pura,https://i.imgur.com/mOqozdX.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3029"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=67"">"
u322,132,Mack Wyse,,,,,Slytherin,Adulto,A,Neutral,Humano,Hombre,,35,Dueño del Little Moon / T. del Bathory’s Star Sky,-,Heterosexual,Pingüino,-,Impura,https://i.imgur.com/npFW0en.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u322"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=132"">"
u3462,139,Maddie B. Moore,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3462"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=139"">"
u1370,68,Madisson S. Howells,,,,,Ravenclaw,Adulto,A,Auror,Veela,Mujer,Auror,20,Auror,Cronista,Heterosexual,Mariposa Ulises,-,Pura,https://i.imgur.com/mxY4U0o.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1370"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=68"">"
u1103,29,Magnus Greengrass,,,,,Slytherin,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,29,P. Hª Magia / Sublider Mortifago / Miembro Wizengamot,Mod Pociones,Bisexual,Alcaudon pio,-,Pura,https://i.imgur.com/AdTLsEc.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1103"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=29"">"
u1352,83,Marcus Marlowe,,,,,Hufflepuff,Adulto,A,Neutral,Licántropo,Hombre,,33,P. Runas Antiguas / Dueño de Flourish & Blotts,Ex. Magia no Verbal/ Jefe Hufflepuff,Demisexual,Aguilucho Lagunero,-,Impura,https://i.imgur.com/XcTeAkv.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1352"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=83"">"
u1299,88,Meredith G. Marlowe,,,,,Ravenclaw,Estudiante,7,Neutral,Sirena,Mujer,,17,A. Rompemaldiciones / Capitán Ravenclaw,-,Bisexual,Quetzal crestado,-,Pura,https://i.imgur.com/TFCNrNq.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1299"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=88"">"
u2707,162,Merlín,,,,,Slytherin,Adulto,A,Auror,Humano,Hombre,Auror,1604,Lider Auror,-,Heterosexual,Ciervo Rojo,Premonición,Pura,https://i.imgur.com/lzhUFmG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2707"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=162"">"
u1023,152,Miu Asahi,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u1023"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=152"">"
u2033,154,Noh Mi Rae,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u2033"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=154"">"
u594,89,Mordred Le Fay,,,,,Slytherin,Adulto,A,Mortífago,Licántropo,Hombre,,35,D. Nox / Socio Costello,-,Bisexual,Pitón Regius,-,Pura,https://i.imgur.com/DfMd0ii.png,Si,,,"<a href=""https://www.hogwartsrol.com/u594"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=89"">"
u667,108,Morgan Fairchild,,,,,Ravenclaw,Adulto,A,Neutral,Licántropo,Mujer,,33,Sanador en Hogwarts / D. Umbra Clinic,-,Heterosexual,Lobo Negro,-,Pura,https://i.imgur.com/sly1TSp.png,Si,,,"<a href=""https://www.hogwartsrol.com/u667"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=108"">"
u3412,141,	Morgana A. Mayfair,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3412"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=141"">"
u1453,161,Morgana Le Fay,,,,,Extranjero,Adulto,A,Mortífago,Humano,Mujer,Mortífago,1500,Líder Mortífago,-,Bisexual,Cuervo americano,Legeremancia,Pura,https://i.imgur.com/OfbYSNs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1453"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=161"">"
u37,186,Narrador,,,,,Extranjero,Adulto,A,Mortífago,Humano,Mujer,Mortífago,1500,Líder Mortífago,-,Bisexual,Cuervo americano,Legeremancia,Pura,https://i.imgur.com/OfbYSNs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u37"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=186"">"
u2819,60,Nathan A. Carrow,,,,,Slytherin,Adulto,A,Neutral,Humano,Hombre,,26,Sanador en Hogwarts,-,Heterosexual,Caiman Negro,-,Pura,https://i.imgur.com/Af68LKR.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2819"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=60"">"
u2718,100,Neria Spektral,,,,,Slytherin,Estudiante,7,Neutral,Humano,Mujer,,18,A. Sanador/ Buscadora Slytherin,Mod. Registro/ Mod. Cámara de los sueños/Premio anual Slytherin,Demisexual,Vipera Albizona,-,Pura,https://i.imgur.com/0Gq1nx5.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2718"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=100"">"
u3439,130,Nicholas Haywood,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3439"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=130"">"
u2537,15,Nimue E. Valerius,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Mujer,,31,Duño de Vimue Dalerius Pub / J. de Quidditch Profesional,-,Homosexual,Musaraña,-,Mestiza,https://i.imgur.com/JnTHntz.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2537"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=15"">"
u2862,121,Noah Clearwater,,,,,Gryffindor,Estudiante,7,Neutral,Sirena,Mujer,,18,A. Aritmancia / Buscador Gryffindor,Mod Gobstons,Heterosexual,,-,Pura,https://i.imgur.com/jkGXDfs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2862"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=121"">"
u1606,59,Noah Malfoy,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,20,-,-,Heterosexual,Gato Azul Ruso,-,Pura,https://i.imgur.com/5kLMoI7.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1606"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=59"">"
u1090,111,Paolo Sanna,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,29,-,-,Bisexual,Lirón Gris,-,Impura,https://i.imgur.com/n3vOuR2.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1090"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=111"">"
u2992,16,Paul Whit,,,,,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,A. Inefable / Prefecto de Ravenclaw,Columnista / Examinador general,Pansexual,Colibrí,-,Mestiza,https://i.imgur.com/JR09D9H.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2992"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=16"">"
u3376,124,Penélope Featherington,,,,,Hufflepuff,Estudiante,6,Auror,Humano,Mujer,,16,Ayudante Flourish & Blotts,-,Heterosexual,Golondrina Común,-,Pura,https://i.imgur.com/wHvhLq0.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3376"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=124"">"
u1109,18,Perseo Katsaros,,,,,Slytherin,Adulto,A,Neutral,Humano,Hombre,,18,Bibliotecario/Dueño Bótica Slug&Jiggers,Staff,Homosexual,Comadreja,-,Mestiza,https://i.imgur.com/n4bWVPG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1109"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=18"">"
u833,51,Persephone A. Windhunter,,,,,Slytherin,Estudiante,7,Mortífago,Humano,Mujer,Mortífago,19,A. Academia / Prefecto Slytherin / A. Morti,-,Heterosexual,Aethonan,-,Pura,https://i.imgur.com/R17ucz4.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u833"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=51"">"
u2728,94,Peter Peverell,,,,,Slytherin,Adulto,A,Neutral,Licántropo,Hombre,,22,Rompemaldiciones / Socio de Costello,-,Bisexual,Araña Viuda Negra,-,Pura,https://i.imgur.com/3Oqgbky.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2728"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=94"">"
u2815,79,Petrichor R. Warlock,,,,,Gryffindor,Estudiante,7,Neutral,Veela,Mujer,,18,-,Mod Nimbus,Demisexual,Petauro,-,Pura,https://i.imgur.com/GDWWULs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2815"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=79"">"
u2521,86,Philippe Delacour,,,,,Extranjero,Adulto,A,Neutral,Hibrido Vee + Va,Hombre,,32,-,-,Bisexual,Doxy,-,Metiza,https://i.imgur.com/ERmhCY4.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2521"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=86"">"
u3281,74,Phobos A. Windhunter,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3281"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=74"">"
u3408,58,Phoenix Richetti,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3408"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=58"">"
u3326,159,Rhys Vladimirovich,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3326"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=159"">"
u1129,158,	Ryojin Raiden,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u1129"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=158"">"
u3143,97,Ricardo Suarez,,,,,Slytherin,Adulto,A,Neutral,Híbrido Ve+Si,Hombre,,23,Sanador,-,Bisexual,-,-,Mestiza,https://i.imgur.com/tBB8FjH.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3143"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=97"">"
u343,163,Richard Rogers,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u343"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=163"">"
u1517,25,Riley McAdams,,,,,Slytherin,Estudiante,7,Neutral,Híbrido Hu+Va,Mujer,,17,Aprendiz de Misterios,-,Heterosexual,Tigrillo,-,Pura,https://i.imgur.com/jIyff2F.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1517"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=25"">"
u988,66,River Greyback,,,,,Slytherin,Adulto,A,Mortífago,Licántropo,Hombre,Mortífago,20,Mortífago / Profesional del Uso Incorrecto de la Magia ,-,Bisexual,Águila real,-,Pura,https://i.imgur.com/PwNOl6C.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u988"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=66"">"
u2006,185,Rowan McGrath,,,,,Muggle,Adulto,A,Neutral,Humano,Hombre,,43,Lider de la Mafia Muggle,-,Heterosexual,-,-,-,https://i.imgur.com/x68dE2T.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u2006"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=185"">"
u3371,17,Rye Richetti,,,,,Gryffindor,Estudiante,6,Neutral,Humano,Mujer,,16,-,-,Heterosexual,Oso Panda,-,Pura,https://i.imgur.com/I8iEfCZ.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3371"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=17"">"
u3164,106,Saoirse O'Byrne,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3164"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=106"">"
u3202,119,Sabrina Starlight,,,,,Ravenclaw,Estudiante,3,Neutral,Híbrido Si+Hu,Mujer,,14,,,Bisexual,-,-,Pura,https://i.imgur.com/mBIUY7y.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3202"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=119"">"
u419,42,Sachiko Ogasawara,,,,,Slytherin,Adulto,A,Neutral,Vampiro,Mujer,,21,P. Uso incorrecto mágia,-,Homosexual,Dragón Bola de Fuego Chino,-,Pura,https://i.imgur.com/n7dXl3J.png,Si,,,"<a href=""https://www.hogwartsrol.com/u419"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=42"">"
u414,147,Scorpius Malfoy,,,,,Slytherin,Adulto,A,Auror,Humano,Hombre,,49,Sanador,E. Periodicos,Bisexual,Perro Mastín del Pirineos,-,Pura,https://i.imgur.com/rQPzde7.png,Si,,,"<a href=""https://www.hogwartsrol.com/u414"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=147"">"
u2102,168,Scott Ollivander,,,,,Slytherin,Estudiante,7,Mortífago,Humano,Hombre,,17,A. The Queerditch Blooder,-,Homosexual,Demiguise,-,Pura,https://i.imgur.com/AEEgMm7.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2102"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=168"">"
u2589,38,Selene G. Argyris,,,,,Gryffindor,Adulto,A,Neutral,Sirena,Mujer,,25,D. Moonlight Shadow Planetary,-,Pansexual,Tonina overa,-,Pura,https://i.imgur.com/HfXQm8o.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2589"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=38"">"
u1285,23,Sky S. Lightwood,,,,,Ravenclaw,Adulto,A,Auror,Humano,Mujer,Auror,26,Ministra Magia / Auror / D. Sacred Lotus,Columnista / E. General,Bisexual,Alcotán europeo,-,Pura,https://i.imgur.com/iGK9EHY.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1285"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=23"">"
u1707,22,Stella Ersebet,,,,,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,Mortífago,17,Cazador Hufflepuff / A. Sanador / A. Mortífago,Mod. Situaciones / Premio Anual / Mod. Registros,Heterosexual,Perro Dalmata,-,Mestiza,https://i.imgur.com/YgcZVEa.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1707"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=22"">"
u47,31,Susan E. Petrie,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u47"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=31"">"
u965,156,	Suspiria Kim,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u965"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=156"">"
u250,55,Thomas Grindelwald,,,,,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,27,Mortífago,-,Heterosexual,Lechuza,-,Pura,https://i.imgur.com/jkCZIu5.png,Si,,,"<a href=""https://www.hogwartsrol.com/u250"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=55"">"
u3153,125,Undyne McDowell,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u3153"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=125"">"
u2997,9,Vernon Kang,,,,,Hufflepuff,Adulto,A,Auror,Licántropo,Hombre,Auror,25,Auror / Sanador / T. Global Star Entertainment,Mod. Global / C. Eventos,Homosexual,Koala,-,Pura,https://i.imgur.com/GKs2nuK.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2997"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=9"">"
u3028,133,	Victoria Da Souza,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u3028"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=133"">"
u3338,122,Victoria DeLacourt,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3338"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=122"">"
u1369,48,Whilemina Hardin,,,,,Ravenclaw,Adulto,A,Auror,Licántropo,Mujer,Auror,20,Profesional DRCM/ Auror,Staff,Heterosexual,Lobo de Vancouver,-,Mestiza,https://i.imgur.com/oOVMdQj.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1369"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=48"">"
u284,85,William A. Ellis,,,,,Hufflepuff,Adulto,A,Auror,Humano,Hombre,Auror,34,D. San Mungo / Auror,-,Bisexual,Perro mastín de Pirineos,-,Pura,https://i.imgur.com/tjOVeVq.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u284"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=85"">"
u3267,46,Willow J. Wildrose,,,,,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,,17,A. CCMM,-,Heterosexual,Ardilla Richardson,-,Mestiza,https://i.imgur.com/5Xi90uj.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3267"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=46"">"
u884,109,Wyatt Kreiss,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u884"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=109"">"
u2890,105,Yu Hwan,,,,,Extranjero,Adulto,A,Neutral,Humano,Hombre,,25,P. CCM / Jefe de DRCM,-,Heterosexual,Mapache común,Metamorfomagia,Mestiza,https://i.imgur.com/iRRdjgs.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2890"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=105"">"
u2155,76,Zachary Von Richter,,,,,Gryffindor,Estudiante,7,Neutral,Humano,Hombre,,18,A. Pociones/ A. Faery´s Cauldron,-,Demisexual,Castor,-,Pura,https://i.imgur.com/C41gPCS.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2155"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=76"">"
u2282,65,Zeon Klaus,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,34,Dueño de Mystic Momentum / P. CCMM,-,Bisexual,-,-,Mestiza,https://i.imgur.com/Wilorbt.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2282"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=65"">"
u1790,24,Zoe Bennett,,,,,Gryffindor,Adulto,A,Auror,Humano,Mujer,Auror,34,Rompemaldiciones / Auror,Columnista CdB - Mod. Registros,Heterosexual,Mariposa Monarca,-,Pura,https://i.imgur.com/6H7xsCM.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1790"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=24"">"
