Nro Usuario,Nombre y Apellido,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio
u3164,Saoirse O'Byrne,Slytherin,Estudiante,6,Neutral,Sirena,Mujer,,16,Cantante jr / Buscadora de Slytherin,,Heterosexual,-,-,Pura,https://i.imgur.com/enIyQ15.png,Si
u414,Scorpius Malfoy,Slytherin,Adulto,A,Auror,Humano,Hombre,,49,Sanador,E. Periodicos,Bisexual,Perro Mastín del Pirineos,-,Pura,https://i.imgur.com/rQPzde7.png,Si
u2102,Scott Ollivander,Slytherin,Estudiante,7,Mortífago,Humano,Hombre,,17,A. The Queerditch Blooder,-,Homosexual,Demiguise,-,Pura,https://i.imgur.com/AEEgMm7.png,Si
u2589,Selene G. Argyris,Gryffindor,Adulto,A,Neutral,Sirena,Mujer,,25,D. Moonlight Shadow Planetary,-,Pansexual,Tonina overa,-,Pura,https://i.imgur.com/HfXQm8o.png,Si
u342,Selene Windhunter,Ravenclaw,Adulto,A,Neutral,Humano,Mujer,,29,T. Chez Winnie,-,Heterosexual,Dragón Ridgeback Noruego,-,Pura,https://i.imgur.com/0D4r91P.jpg,Si
u1285,Sky S. Lightwood,Ravenclaw,Adulto,A,Auror,Humano,Mujer,Auror,26,Ministra Magia / Auror / D. Sacred Lotus,Columnista / E. General,Bisexual,Alcotán europeo,-,Pura,https://i.imgur.com/iGK9EHY.png,Si
u1707,Stella Ersebet,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,Mortífago,17,Cazador Hufflepuff / A. Sanador / A. Mortífago,Mod. Situaciones / Premio Anual / Mod. Registros,Heterosexual,Perro Dalmata,-,Mestiza,https://i.imgur.com/YgcZVEa.png,Si
u250,Thomas Grindelwald,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,27,Mortífago,-,Heterosexual,Lechuza,-,Pura,https://i.imgur.com/jkCZIu5.png,Si
u2997,Vernon Kang,Hufflepuff,Adulto,A,Auror,Licántropo,Hombre,Auror,25,Auror / Sanador / T. Global Star Entertainment,Mod. Global / C. Eventos,Homosexual,Koala,-,Pura,https://i.imgur.com/GKs2nuK.png,Si
u1369,Whilemina Hardin,Ravenclaw,Adulto,A,Auror,Licántropo,Mujer,Auror,20,Profesional DRCM/ Auror,Staff,Heterosexual,Lobo de Vancouver,-,Mestiza,https://i.imgur.com/oOVMdQj.png,Si
u284,William A. Ellis,Hufflepuff,Adulto,A,Auror,Humano,Hombre,Auror,34,D. San Mungo / Auror,-,Bisexual,Perro mastín de Pirineos,-,Pura,https://i.imgur.com/tjOVeVq.jpg,Si
u3267,Willow J. Wildrose,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,,17,A. CCMM,-,Heterosexual,Ardilla Richardson,-,Mestiza,https://i.imgur.com/5Xi90uj.png,Si
u2890,Yu Hwan,Extranjero,Adulto,A,Neutral,Humano,Hombre,,25,P. CCM / Jefe de DRCM,-,Heterosexual,Mapache común,Metamorfomagia,Mestiza,https://i.imgur.com/iRRdjgs.png,Si
u2155,Zachary Von Richter,Gryffindor,Estudiante,7,Neutral,Humano,Hombre,,18,A. Pociones/ A. Faery´s Cauldron,-,Demisexual,Castor,-,Pura,https://i.imgur.com/C41gPCS.png,Si
u2282,Zeon Klaus,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,34,Dueño de Mystic Momentum / P. CCMM,-,Bisexual,-,-,Mestiza,https://i.imgur.com/Wilorbt.png,Si
u1790,Zoe Bennett,Gryffindor,Adulto,A,Auror,Humano,Mujer,Auror,34,Rompemaldiciones / Auror,Columnista CdB - Mod. Registros,Heterosexual,Mariposa Monarca,-,Pura,https://i.imgur.com/6H7xsCM.png,Si
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total Activos,145,,,,Total,0,,,,,,,,,,
,Gryffindors,0,,,,Deidad,0,,,,,,,,,,
,Hufflepuffs,0,,,,Híbridos,0,,,,,,,,,,
,Ravenclaws,0,,,,Humanos,0,,,,,,,,,,
,Slytherins,0,,,,Razas puras,0,,,,,,,,,,
,Extranjeros,0,Año,Cantidad,,Semigigantes,0,,,,,,,,,,
,Muggle,0,1º,0,,Sirena,0,,,,,,,,,,
,A Gryffindors,0,2º,0,,Licántropo,0,,,,,,,,,,
,E Gryffindor,0,3º,0,,Vampiros,0,,,,,,,,,,
,A Hufflepuff,0,4º,0,,Veelas,0,,,,,,,,,,
,E Hufflepuff,0,5º,0,,,,,,,,,,,,,
,A Ravenclaw,0,6º,0,,Legeremancia,0,,,,,,,,,,
,E Ravenclaw,0,7º,0,,Maledictus,0,,,,,,,,,,
,A Slytherin,0,Adultos,0,,Metamorfomagia,0,,,,,,,,,,
,E Slytherin,0,Infantes,0,,Parsel,0,,,,,,,,,,
,,,,,,Premonición,0,,,,,,,,,,
,H Heterosexuales,0,,,,Oclumancia,0,,,,,,,,,,
,H Homosexuales,0,,,,,,,,,,,,,,,
,H Bisexuales,0,,,,,,,,,,,,,,,
,H Asexuales,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,M Heterosexuales,0,,,,,,,,,,,,,,,
,M Homosexuales,0,,,,,,,,,,,,,,,
,M Bisexuales,0,,,,,,,,,,,,,,,
,M Asexuales,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Hombres,0,,,,,,,,,,,,,,,
,Adultos,0,,,,,,,,,,,,,,,
,A Heterosexuales,0,,,,,,,,,,,,,,,
,A Homosexuales,0,,,,,,,,,,,,,,,
,A Bisexuales,0,,,,,,,,,,,,,,,
,A Asexuales,0,,,,,,,,,,,,,,,
,Estudiantes H,0,,,,,,,,,,,,,,,
,E Heterosexuales,0,,,,,,,,,,,,,,,
,E Homosexuales,0,,,,,,,,,,,,,,,
,E Bisexuales,0,,,,,,,,,,,,,,,
,E Asexuales,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mujeres,0,,,,,,,,,,,,,,,
,Adultas,0,,,,,,,,,,,,,,,
,A Heterosexuales,0,,,,,,,,,,,,,,,
,A Homosexuales,0,,,,,,,,,,,,,,,
,A Bisexuales,0,,,,,,,,,,,,,,,
,A Asexuales,0,,,,,,,,,,,,,,,
,Estudiantes M,0,,,,,,,,,,,,,,,
,E Heterosexuales,0,,,,,,,,,,,,,,,
,E Homosexuales,0,,,,,,,,,,,,,,,
,E Bisexuales,0,,,,,,,,,,,,,,,
,E Asexuales,0,,,,,,,,,,,,,,,
